gene_id	gene_name	gene_type	chrom	start	end	strand	clip_count	rpf_siLuc	rpf_siLin28a	rna_siLuc	rna_siLin28a
ENSMUSG00000034377.11	Tulp4	protein_coding	chr17	6156712	6301403	+	770	54	41	452	508
ENSMUSG00000034379.10	Wdr5b	protein_coding	chr16	35861560	35864298	+	5	2	4	25	18
ENSMUSG00000034382.15	AI661453	protein_coding	chr17	47747540	47781563	+	26	69	122	93	179
ENSMUSG00000034387.14	Ssu2	protein_coding	chr6	112336285	112364984	-	7	6	4	8	7
ENSMUSG00000034390.17	Cmip	protein_coding	chr8	117983803	118186169	+	356	276	202	725	1045
ENSMUSG00000034391.13	Fbxo15	protein_coding	chr18	84952907	84999598	+	2163	956	651	1477	1493
ENSMUSG00000034394.15	Lif	protein_coding	chr11	4207557	4222514	+	46	11	19	19	56
ENSMUSG00000034401.17	Spata6	protein_coding	chr4	111577181	111686381	+	141	77	47	125	264
ENSMUSG00000034403.17	Pja1	protein_coding	chrX	98509340	98514879	-	291	295	99	437	472
ENSMUSG00000034412.14	Tbc1d10a	protein_coding	chr11	4136789	4165505	+	139	409	237	357	747
ENSMUSG00000034413.15	Neurl1b	protein_coding	chr17	26633803	26665323	+	17	3	6	12	15
ENSMUSG00000034416.19	Pkd1l2	protein_coding	chr8	117722418	117809188	-	22	24	23	25	53
ENSMUSG00000034422.15	Parp14	protein_coding	chr16	35653244	35691914	-	477	122	69	184	262
ENSMUSG00000034424.6	Gcsh	protein_coding	chr8	117708549	117720276	-	1797	1131	811	2055	1536
ENSMUSG00000034427.18	Myo15b	protein_coding	chr11	115749232	115783429	+	14	15	13	33	81
ENSMUSG00000034429.16	Zfp707	protein_coding	chr15	75840972	75847717	+	23	48	36	78	129
ENSMUSG00000034430.17	Zxdc	protein_coding	chr6	90346474	90380472	+	214	105	79	282	407
ENSMUSG00000034432.12	Cops8	protein_coding	chr1	90530703	90541063	+	997	951	618	1134	1271
ENSMUSG00000034435.7	Tmem30b	protein_coding	chr12	73590176	73593166	-	147	68	206	69	180
ENSMUSG00000034437.9	Gm9761	processed_pseudogene	chr3	116354584	116355075	-	12	9	6	7	21
ENSMUSG00000034442.12	Trmt5	protein_coding	chr12	73326785	73333484	-	159	271	111	329	329
ENSMUSG00000034445.9	Cyb561a3	protein_coding	chr19	10554536	10573325	+	282	71	110	129	140
ENSMUSG00000034449.8	Dhrs11	protein_coding	chr11	84711682	84719820	-	28	69	61	47	138
ENSMUSG00000034450.9	Gulo	protein_coding	chr14	66224235	66246656	-	16	63	47	25	51
ENSMUSG00000034452.8	Slc24a1	protein_coding	chr9	64830143	64858889	-	62	50	15	73	41
ENSMUSG00000034453.9	Polr3b	protein_coding	chr10	84458156	84563042	+	1187	334	113	1658	1756
ENSMUSG00000034457.11	Eda2r	protein_coding	chrX	96377446	96420822	-	1636	207	270	343	429
ENSMUSG00000034460.10	Six4	protein_coding	chr12	73146383	73160230	-	365	382	286	529	690
ENSMUSG00000034462.10	Pkd2	protein_coding	chr5	104607316	104653685	+	1098	217	262	382	546
ENSMUSG00000034471.13	Caskin2	protein_coding	chr11	115690009	115704465	-	61	140	81	235	600
ENSMUSG00000034472.14	Rasd2	protein_coding	chr8	75940572	75950741	+	22	13	5	56	57
ENSMUSG00000034473.15	Sec22a	protein_coding	chr16	35131501	35184288	-	431	136	194	231	214
ENSMUSG00000034480.19	Diaph2	protein_coding	chrX	128650491	129366583	+	751	128	71	271	349
ENSMUSG00000034484.9	Snx2	protein_coding	chr18	53309388	53353937	+	549	1279	753	1072	1207
ENSMUSG00000034485.11	Uaca	protein_coding	chr9	60701824	60787652	+	1607	286	177	893	977
ENSMUSG00000034486.9	Gbx2	protein_coding	chr1	89855678	89858901	-	38	92	19	109	79
ENSMUSG00000034487.5	Poglut3	protein_coding	chr9	53295325	53313167	+	263	53	83	30	64
ENSMUSG00000034488.15	Edil3	protein_coding	chr13	88969591	89471342	+	19	6	33	0	4
ENSMUSG00000034493.2	4930556J24Rik	protein_coding	chr11	3887541	3926778	-	0	0	0	9	6
ENSMUSG00000034501.8	Pcnx4	protein_coding	chr12	72583157	72626893	+	395	128	184	188	240
ENSMUSG00000034509.10	Mad2l1bp	protein_coding	chr17	46458313	46464479	-	75	159	95	174	147
ENSMUSG00000034518.15	Hmgxb4	protein_coding	chr8	75719984	75758606	+	550	354	218	905	750
ENSMUSG00000034520.15	Gjc1	protein_coding	chr11	102690405	102710526	-	2514	786	1029	1254	1652
ENSMUSG00000034522.11	Zfp395	protein_coding	chr14	65595838	65636379	+	240	149	107	268	460
ENSMUSG00000034525.8	Ice1	protein_coding	chr13	70699826	70785753	-	3524	236	215	1273	1799
ENSMUSG00000034532.10	Fbxo16	protein_coding	chr14	65504067	65561422	+	66	36	20	25	57
ENSMUSG00000034538.9	Zfp418	protein_coding	chr7	7174329	7186561	+	117	120	77	94	141
ENSMUSG00000034543.16	Morc2a	protein_coding	chr11	3599191	3640477	+	1932	657	182	2838	2857
ENSMUSG00000034544.18	Rsrc1	protein_coding	chr3	66888723	67265729	+	131	108	65	298	318
ENSMUSG00000034551.13	Hdx	protein_coding	chrX	110479628	110606776	-	337	32	9	82	70
ENSMUSG00000034557.15	Zfyve9	protein_coding	chr4	108494663	108637995	-	292	144	105	225	328
ENSMUSG00000034560.7	Washc4	protein_coding	chr10	83379616	83432337	+	3218	582	287	2158	1942
ENSMUSG00000034563.17	Ccpg1	protein_coding	chr9	72892711	72923622	+	17	41	65	16	25
ENSMUSG00000034566.11	Atp5h	protein_coding	chr11	115306515	115310788	-	1718	2054	1673	992	1606
ENSMUSG00000034570.13	Inpp5j	protein_coding	chr11	3444375	3454821	-	0	1	0	13	0
ENSMUSG00000034573.15	Ptpn13	protein_coding	chr5	103573058	103746169	+	202	38	31	129	301
ENSMUSG00000034574.11	Daam1	protein_coding	chr12	71877852	72039107	+	859	160	190	479	717
ENSMUSG00000034575.14	Tent4a	protein_coding	chr13	69646078	69682736	-	614	128	104	615	765
ENSMUSG00000034586.15	Hid1	protein_coding	chr11	115238533	115258582	-	48	59	36	58	129
ENSMUSG00000034587.9	8430429K09Rik	lncRNA	chr11	3402365	3429831	+	49	27	11	59	43
ENSMUSG00000034591.6	Slc41a2	protein_coding	chr10	83066712	83173746	-	20	11	8	9	13
ENSMUSG00000034593.17	Myo5a	protein_coding	chr9	74978297	75130970	+	2360	134	91	1352	1671
ENSMUSG00000034595.18	Ppp1r18	protein_coding	chr17	36176485	36186488	+	247	127	110	318	440
ENSMUSG00000034601.18	2700049A03Rik	protein_coding	chr12	71183622	71290077	+	613	247	101	490	577
ENSMUSG00000034602.16	Mon2	protein_coding	chr10	122827965	122912410	-	1135	395	299	1059	1457
ENSMUSG00000034607.7	Pof1b	protein_coding	chrX	111548128	111608348	-	174	9	2	40	22
ENSMUSG00000034610.15	Tut4	protein_coding	chr4	108316623	108416618	+	1352	485	288	813	903
ENSMUSG00000034612.8	Chst11	protein_coding	chr10	82821332	83031734	+	289	40	41	65	126
ENSMUSG00000034613.13	Ppm1h	protein_coding	chr10	122514667	122781700	+	470	90	106	82	72
ENSMUSG00000034614.15	Pik3ip1	protein_coding	chr11	3280401	3292971	+	163	84	107	148	142
ENSMUSG00000034616.18	Ssh3	protein_coding	chr19	4311696	4319208	-	7	4	9	13	57
ENSMUSG00000034617.8	Mtrr	protein_coding	chr13	68708899	68730268	-	266	382	186	653	810
ENSMUSG00000034620.18	Rxylt1	protein_coding	chr10	121914019	121933276	-	428	93	105	118	134
ENSMUSG00000034621.15	Gpatch8	protein_coding	chr11	102366741	102447218	-	1043	255	113	1194	1250
ENSMUSG00000034636.10	Zyg11b	protein_coding	chr4	108086921	108158293	-	1363	240	176	942	1192
ENSMUSG00000034639.8	Setmar	protein_coding	chr6	108042006	108054083	+	2	24	27	32	53
ENSMUSG00000034640.10	Tiparp	protein_coding	chr3	65435831	65462939	+	593	435	234	742	861
ENSMUSG00000034645.15	Zyg11a	protein_coding	chr4	108038935	108075245	-	106	358	378	387	744
ENSMUSG00000034647.16	Ankrd12	protein_coding	chr17	66272693	66384084	-	726	26	35	296	363
ENSMUSG00000034648.10	Lrrn1	protein_coding	chr6	107506729	107547175	+	48	20	32	27	18
ENSMUSG00000034652.13	Cd300a	protein_coding	chr11	114780867	114795480	+	42	13	8	23	29
ENSMUSG00000034653.12	Ythdc2	protein_coding	chr18	44960813	45022791	+	444	110	52	464	566
ENSMUSG00000034656.19	Cacna1a	protein_coding	chr8	85065268	85366875	+	354	263	254	272	736
ENSMUSG00000034659.15	Tmem109	protein_coding	chr19	10848024	10859365	-	189	316	417	107	240
ENSMUSG00000034663.14	Bmp2k	protein_coding	chr5	97145548	97239726	+	104	13	8	24	62
ENSMUSG00000034664.14	Itga2b	protein_coding	chr11	102344123	102360948	-	24	11	6	41	25
ENSMUSG00000034667.9	Xpot	protein_coding	chr10	121423285	121462237	-	2012	707	371	2349	2378
ENSMUSG00000034673.15	Pbx2	protein_coding	chr17	34810240	34816374	+	478	207	150	516	765
ENSMUSG00000034674.19	Tdg	protein_coding	chr10	82465662	82486633	+	391	125	94	325	374
ENSMUSG00000034675.18	Dbn1	protein_coding	chr13	55621242	55635924	-	161	59	27	91	140
ENSMUSG00000034681.18	Rnps1	protein_coding	chr17	24633539	24644875	+	1072	420	191	1343	1485
ENSMUSG00000034684.13	Sema3f	protein_coding	chr9	107558699	107587674	-	41	22	23	46	56
ENSMUSG00000034685.5	Fam171a2	protein_coding	chr11	102327807	102338508	-	25	35	52	67	71
ENSMUSG00000034686.9	Prr7	protein_coding	chr13	55612080	55620967	+	32	42	30	30	55
ENSMUSG00000034687.9	Fras1	protein_coding	chr5	96521814	96932587	+	337	182	253	81	99
ENSMUSG00000034690.14	Nlrp4c	protein_coding	chr7	6048160	6108149	+	22	5	1	1	9
ENSMUSG00000034701.10	Neurod1	protein_coding	chr2	79282865	79287095	-	93	19	11	6	27
ENSMUSG00000034706.17	Dnai2	protein_coding	chr11	114618234	114648715	+	13	11	6	31	55
ENSMUSG00000034707.8	Gns	protein_coding	chr10	121200995	121233154	+	1691	1235	1603	768	1032
ENSMUSG00000034708.13	Grn	protein_coding	chr11	102321141	102327874	+	2501	8338	14402	1283	2423
ENSMUSG00000034709.9	Ppp1r21	protein_coding	chr17	88837546	88895795	+	247	148	59	436	465
ENSMUSG00000034714.10	Ttyh2	protein_coding	chr11	114566257	114611803	+	477	797	1225	264	593
ENSMUSG00000034723.12	Tmx4	protein_coding	chr2	134436105	134486065	-	800	146	158	149	135
ENSMUSG00000034724.19	Cnot6l	protein_coding	chr5	96218192	96312030	-	769	60	51	332	396
ENSMUSG00000034729.17	Mrps10	protein_coding	chr17	47679812	47692342	+	295	208	150	328	522
ENSMUSG00000034730.18	Adgrb1	protein_coding	chr15	74388044	74461314	+	59	116	113	230	334
ENSMUSG00000034731.12	Dgkh	protein_coding	chr14	78796190	78970216	-	1665	98	90	723	1308
ENSMUSG00000034744.14	Nagk	protein_coding	chr6	83771964	83781000	+	20	115	121	156	255
ENSMUSG00000034748.17	Sirt6	protein_coding	chr10	81457619	81463631	-	101	300	169	329	588
ENSMUSG00000034751.18	Mast4	protein_coding	chr13	102868994	103471005	-	331	90	61	236	262
ENSMUSG00000034757.16	Tmub2	protein_coding	chr11	102175757	102180063	+	212	261	334	346	355
ENSMUSG00000034758.13	Tle6	protein_coding	chr10	81426738	81436907	-	1	56	15	112	145
ENSMUSG00000034761.16	Map4k5	protein_coding	chr12	69850524	69939974	-	355	94	35	405	510
ENSMUSG00000034762.10	Glis1	protein_coding	chr4	107291788	107492258	+	0	9	5	8	6
ENSMUSG00000034764.16	1700006J14Rik	lncRNA	chr10	120200062	120220241	+	2	0	1	13	15
ENSMUSG00000034765.7	Dusp5	protein_coding	chr19	53517540	53530862	+	25	28	20	74	143
ENSMUSG00000034768.5	Asb16	protein_coding	chr11	102159569	102170288	+	6	61	35	48	106
ENSMUSG00000034771.16	Tle2	protein_coding	chr10	81410395	81426679	+	15	8	2	31	33
ENSMUSG00000034773.17	Hrob	protein_coding	chr11	102139708	102156013	+	210	501	299	680	1035
ENSMUSG00000034777.3	Vax2	protein_coding	chr6	83688246	83715295	+	0	8	32	9	104
ENSMUSG00000034780.7	B3galt1	protein_coding	chr2	67396215	67953033	+	46	1	4	12	13
ENSMUSG00000034781.6	Gna11	protein_coding	chr10	81364558	81381024	-	251	310	193	670	1011
ENSMUSG00000034786.18	Gpsm3	protein_coding	chr17	34808780	34810728	+	19	11	11	43	45
ENSMUSG00000034789.9	Rab24	protein_coding	chr13	55467556	55469759	-	49	8	8	110	156
ENSMUSG00000034792.9	Gna15	protein_coding	chr10	81338140	81360059	-	33	105	71	101	86
ENSMUSG00000034793.16	G6pc3	protein_coding	chr11	102080446	102084907	+	68	325	400	63	96
ENSMUSG00000034795.15	Ccdc122	protein_coding	chr14	77274212	77349697	+	11	5	5	16	16
ENSMUSG00000034796.15	Cpne7	protein_coding	chr8	123844113	123861921	+	1	2	0	11	0
ENSMUSG00000034799.17	Unc13a	protein_coding	chr8	72077061	72124401	-	1130	27	22	184	234
ENSMUSG00000034800.16	Zfp661	protein_coding	chr2	127416582	127429014	-	76	28	10	69	66
ENSMUSG00000034801.14	Sos2	protein_coding	chr12	69630536	69728626	-	382	24	30	146	197
ENSMUSG00000034807.10	Colgalt1	protein_coding	chr8	72063642	72077555	+	2786	1726	2480	1092	1576
ENSMUSG00000034813.19	Grip1	protein_coding	chr10	119289735	119923166	+	57	6	9	25	61
ENSMUSG00000034818.18	Celf5	protein_coding	chr10	81295061	81318543	-	117	36	37	90	119
ENSMUSG00000034820.5	Cpsf7	protein_coding	chr19	10502630	10525017	+	750	190	94	783	1026
ENSMUSG00000034825.15	Nrip3	protein_coding	chr7	109357262	109381232	-	32	2	1	21	4
ENSMUSG00000034826.15	Nup54	protein_coding	chr5	92563399	92583078	-	330	630	298	876	827
ENSMUSG00000034832.16	Tet3	protein_coding	chr6	83339355	83436066	-	135	15	14	78	123
ENSMUSG00000034837.13	Gnat1	protein_coding	chr9	107551673	107556911	-	31	6	9	20	30
ENSMUSG00000034845.7	Plvap	protein_coding	chr8	71950409	71964396	-	13	19	5	12	8
ENSMUSG00000034848.18	Ttc21b	protein_coding	chr2	66014671	66086961	-	287	167	83	392	473
ENSMUSG00000034850.16	Tmem127	protein_coding	chr2	127089828	127103027	+	360	109	161	235	330
ENSMUSG00000034853.17	Acot11	protein_coding	chr4	106601752	106662195	-	22	41	10	90	76
ENSMUSG00000034854.9	Mfsd12	protein_coding	chr10	81193325	81202059	+	133	97	244	101	380
ENSMUSG00000034858.17	Fam214a	protein_coding	chr9	74860166	74939750	+	29	15	34	79	97
ENSMUSG00000034863.10	Ano8	protein_coding	chr8	71928663	71938607	-	98	29	30	50	97
ENSMUSG00000034867.17	Ankrd27	protein_coding	chr7	35285669	35338651	+	448	247	134	1098	1212
ENSMUSG00000034868.10	Myl12b	protein_coding	chr17	71280128	71297885	-	243	25	24	71	98
ENSMUSG00000034872.7	Gipc3	protein_coding	chr10	81171099	81179100	-	4	4	10	5	12
ENSMUSG00000034875.6	Nudt19	protein_coding	chr7	35246610	35255729	-	219	118	74	228	236
ENSMUSG00000034880.8	Mrpl34	protein_coding	chr8	71917603	71918391	+	173	800	697	372	552
ENSMUSG00000034881.9	Tbxa2r	protein_coding	chr10	81164565	81171006	+	3	5	10	3	4
ENSMUSG00000034883.10	Lrr1	protein_coding	chr12	69215588	69225783	+	48	166	121	122	157
ENSMUSG00000034889.9	Cactin	protein_coding	chr10	81156937	81162076	+	252	233	128	618	998
ENSMUSG00000034891.14	Sncb	protein_coding	chr13	54906673	54914408	-	0	3	4	8	8
ENSMUSG00000034892.9	Rps29	protein_coding	chr12	69204496	69205960	-	1113	4721	5222	4572	6102
ENSMUSG00000034893.10	Cog3	protein_coding	chr14	75939790	75991998	-	340	248	187	632	805
ENSMUSG00000034902.18	Pip5k1c	protein_coding	chr10	81128797	81155807	+	220	132	125	561	1119
ENSMUSG00000034903.19	Cobll1	protein_coding	chr2	64918683	65069747	-	57	35	12	21	52
ENSMUSG00000034906.16	Ncaph	protein_coding	chr2	126945729	126975874	-	712	555	250	1274	1396
ENSMUSG00000034908.17	Sidt2	protein_coding	chr9	45849155	45866556	-	364	128	223	277	484
ENSMUSG00000034910.6	Pygo1	protein_coding	chr9	72832927	72859463	+	24	4	3	10	12
ENSMUSG00000034911.9	Ushbp1	protein_coding	chr8	71836916	71848446	-	2	38	24	17	18
ENSMUSG00000034912.19	Mdga2	protein_coding	chr12	66512834	67269323	-	23	6	1	12	6
ENSMUSG00000034917.9	Tjp3	protein_coding	chr10	81109041	81127415	-	95	75	41	219	551
ENSMUSG00000034926.4	Dhcr24	protein_coding	chr4	106418235	106446310	+	4688	1608	1569	2131	2719
ENSMUSG00000034928.17	Rnf44	protein_coding	chr13	54827212	54841720	-	1668	955	565	1818	2573
ENSMUSG00000034930.17	Rtkn	protein_coding	chr6	83112444	83129560	+	3	3	8	4	17
ENSMUSG00000034931.16	Dhx8	protein_coding	chr11	101623745	101658184	+	1536	1046	300	2468	2694
ENSMUSG00000034932.5	Mrpl54	protein_coding	chr10	81100547	81102768	-	230	477	461	262	360
ENSMUSG00000034936.3	Arl4d	protein_coding	chr11	101556367	101558658	+	56	79	56	113	117
ENSMUSG00000034940.16	Synrg	protein_coding	chr11	83855254	83935404	+	616	609	509	453	591
ENSMUSG00000034947.14	Tmem106a	protein_coding	chr11	101473068	101482614	+	43	88	196	61	146
ENSMUSG00000034949.19	Zfr2	protein_coding	chr10	81068989	81087957	+	14	1	0	9	7
ENSMUSG00000034951.11	Cog7	protein_coding	chr7	121478586	121580934	-	460	658	527	651	988
ENSMUSG00000034957.11	Cebpa	protein_coding	chr7	34818718	34821353	+	6	6	5	4	25
ENSMUSG00000034958.12	Atcay	protein_coding	chr10	81040342	81066667	-	49	11	14	12	56
ENSMUSG00000034973.17	Dop1a	protein_coding	chr9	86349207	86437976	+	179	81	83	250	399
ENSMUSG00000034974.14	Dapk3	protein_coding	chr10	81018839	81029031	+	76	322	166	420	486
ENSMUSG00000034981.10	Parm1	protein_coding	chr5	91665474	91774753	+	206	225	636	65	212
ENSMUSG00000034990.16	Otoa	protein_coding	chr7	120680873	120762320	+	1	1	0	3	6
ENSMUSG00000034993.8	Vat1	protein_coding	chr11	101349571	101357056	-	995	1614	1236	2162	3636
ENSMUSG00000034994.11	Eef2	protein_coding	chr10	81012465	81018332	+	26336	10009	4443	40892	64045
ENSMUSG00000034998.19	Foxn2	protein_coding	chr17	88748139	88797961	+	853	286	201	653	829
ENSMUSG00000035000.9	Dpp4	protein_coding	chr2	62160417	62242575	-	498	375	538	178	221
ENSMUSG00000035004.4	Igsf6	protein_coding	chr7	120663290	120673795	-	5	11	23	103	61
ENSMUSG00000035007.6	Rundc1	protein_coding	chr11	101315911	101326499	+	210	133	137	236	311
ENSMUSG00000035011.16	Zbtb7a	protein_coding	chr10	80971054	80988829	+	303	43	45	341	743
ENSMUSG00000035021.14	Baz1a	protein_coding	chr12	54939774	55061133	-	780	90	30	601	660
ENSMUSG00000035024.17	Ncapd3	protein_coding	chr9	26941471	27006611	+	746	524	191	1413	1849
ENSMUSG00000035027.19	Map2k2	protein_coding	chr10	80941749	80969809	+	266	622	389	1196	1708
ENSMUSG00000035032.13	Nek11	protein_coding	chr9	105039355	105272723	-	3	0	0	6	4
ENSMUSG00000035041.9	Creb3l3	protein_coding	chr10	80920158	80934708	-	28	10	3	17	19
ENSMUSG00000035045.18	Zc3h12b	protein_coding	chrX	94755284	94976243	+	17	2	1	29	21
ENSMUSG00000035047.10	Kri1	protein_coding	chr9	21184753	21199265	-	388	184	96	525	551
ENSMUSG00000035048.14	Anapc13	protein_coding	chr9	102503495	102511624	+	309	273	316	294	374
ENSMUSG00000035049.5	Rrp12	protein_coding	chr19	41851290	41884612	-	880	1211	454	2183	2390
ENSMUSG00000035051.16	Dhx57	protein_coding	chr17	80545738	80597905	-	294	36	27	435	686
ENSMUSG00000035062.14	Zc4h2	protein_coding	chrX	94682799	94702115	-	18	54	48	52	74
ENSMUSG00000035064.18	Eef2k	protein_coding	chr7	120442054	120506673	+	320	199	105	373	495
ENSMUSG00000035067.10	Xkr6	protein_coding	chr14	63843952	64058258	+	158	4	3	64	51
ENSMUSG00000035069.4	Oma1	protein_coding	chr4	103171009	103229065	+	99	269	216	231	213
ENSMUSG00000035078.7	Mtmr9	protein_coding	chr14	63757100	63781431	-	1041	527	436	593	766
ENSMUSG00000035085.6	1700020L24Rik	protein_coding	chr11	83328503	83332059	+	0	1	0	6	9
ENSMUSG00000035086.14	Becn1	protein_coding	chr11	101176778	101193112	-	632	222	197	828	944
ENSMUSG00000035093.17	Secisbp2l	protein_coding	chr2	125578906	125624790	-	686	103	80	518	645
ENSMUSG00000035095.12	Fam167a	protein_coding	chr14	63673843	63702947	+	31	9	4	40	28
ENSMUSG00000035104.15	Eva1a	protein_coding	chr6	82018024	82070080	+	52	20	17	22	14
ENSMUSG00000035105.6	Egln3	protein_coding	chr12	54225767	54250646	-	509	279	243	709	1104
ENSMUSG00000035107.14	Dcbld2	protein_coding	chr16	58228806	58290090	+	1566	246	406	513	709
ENSMUSG00000035112.18	Wnk4	protein_coding	chr11	101151393	101168235	+	7	2	1	12	26
ENSMUSG00000035121.7	Neil2	protein_coding	chr14	63419892	63431305	-	192	47	34	207	204
ENSMUSG00000035125.11	Gcfc2	protein_coding	chr6	81900650	81936896	+	47	31	11	122	90
ENSMUSG00000035126.20	Dnai4	protein_coding	chr4	102895262	102971752	-	18	3	5	13	12
ENSMUSG00000035129.7	Gm6781	processed_pseudogene	chr14	3937092	3938333	-	33	8	4	15	7
ENSMUSG00000035131.15	Brinp3	protein_coding	chr1	146370498	146778210	+	4	2	3	6	12
ENSMUSG00000035133.10	Arhgap5	protein_coding	chr12	52550755	52618758	+	5747	245	147	1402	1409
ENSMUSG00000035139.15	Secisbp2	protein_coding	chr13	51805733	51838080	+	316	120	46	417	529
ENSMUSG00000035142.19	Nubpl	protein_coding	chr12	52144520	52359527	+	261	106	82	124	111
ENSMUSG00000035150.16	Eif2s3x	protein_coding	chrX	93232313	93256468	-	2147	250	99	2286	2065
ENSMUSG00000035151.13	Elmod2	protein_coding	chr8	84039261	84059115	-	1046	193	245	318	422
ENSMUSG00000035152.15	Ap2b1	protein_coding	chr11	83189850	83295861	+	1495	2479	911	3100	4328
ENSMUSG00000035158.16	Mitf	protein_coding	chr6	97784013	97998310	+	244	65	44	228	323
ENSMUSG00000035161.8	Ints6	protein_coding	chr14	62913779	62998618	-	779	485	260	919	1249
ENSMUSG00000035164.9	Zc3h12c	protein_coding	chr9	52022644	52079872	-	53	17	13	24	58
ENSMUSG00000035168.17	Tanc1	protein_coding	chr2	59442386	59676493	+	825	684	418	1285	2352
ENSMUSG00000035171.10	1110059E24Rik	protein_coding	chr19	21558566	21630340	-	259	172	94	292	295
ENSMUSG00000035172.16	Plekhh3	protein_coding	chr11	101053505	101062177	-	18	5	4	27	40
ENSMUSG00000035173.15	Ccdc186	protein_coding	chr19	56775913	56810622	-	945	233	149	718	757
ENSMUSG00000035179.5	Ppp1r32	protein_coding	chr19	10451599	10460292	-	5	0	0	5	10
ENSMUSG00000035181.7	Heatr5a	protein_coding	chr12	51922654	52018104	-	713	217	154	934	1266
ENSMUSG00000035183.15	Slc24a5	protein_coding	chr2	124910044	124930597	+	7	6	17	22	11
ENSMUSG00000035184.16	Fam124a	protein_coding	chr14	62793186	62845935	+	13	4	1	4	10
ENSMUSG00000035189.18	Ano4	protein_coding	chr10	88784856	89180624	-	12	5	6	10	25
ENSMUSG00000035198.10	Tubg1	protein_coding	chr11	101010764	101017245	+	378	631	377	764	1104
ENSMUSG00000035199.7	Arl6ip5	protein_coding	chr6	97187650	97210276	+	1187	491	514	261	329
ENSMUSG00000035200.8	Chrnb4	protein_coding	chr9	54935438	54956063	-	20	12	14	21	18
ENSMUSG00000035202.9	Lars2	protein_coding	chr9	123195992	123291731	+	113912	17429	10269	43948	34607
ENSMUSG00000035203.17	Epn1	protein_coding	chr7	5083234	5101177	+	263	299	252	799	1151
ENSMUSG00000035206.11	Sppl2b	protein_coding	chr10	80691109	80704542	+	166	157	200	116	273
ENSMUSG00000035208.17	Slfn8	protein_coding	chr11	82892984	82911636	-	34	15	3	57	29
ENSMUSG00000035211.10	Xrra1	protein_coding	chr7	99508323	99567029	+	0	1	1	4	4
ENSMUSG00000035212.15	Leprot	protein_coding	chr4	101504915	101516561	+	1355	433	644	583	736
ENSMUSG00000035215.10	Lsm7	protein_coding	chr10	80688655	80691043	-	270	193	153	151	248
ENSMUSG00000035226.6	Rims4	protein_coding	chr2	163701671	163760603	-	29	1	1	11	13
ENSMUSG00000035227.8	Spcs2	protein_coding	chr7	99486776	99512669	-	1683	1009	1061	709	882
ENSMUSG00000035228.16	Ccdc106	protein_coding	chr7	5023552	5063784	+	9	9	4	6	13
ENSMUSG00000035232.9	Pdk3	protein_coding	chrX	92808213	92875807	-	293	398	233	455	469
ENSMUSG00000035234.19	Abraxas1	protein_coding	chr5	100953058	100968831	-	311	122	54	310	227
ENSMUSG00000035235.14	Trim13	protein_coding	chr14	61835696	61843395	+	316	340	160	288	297
ENSMUSG00000035236.18	Scai	protein_coding	chr2	38956226	39080746	-	360	27	31	291	320
ENSMUSG00000035237.8	Lcat	protein_coding	chr8	106666183	106670014	-	12	3	1	4	4
ENSMUSG00000035239.7	Neu3	protein_coding	chr7	99460646	99477624	-	33	23	13	55	93
ENSMUSG00000035242.16	Oaz1	protein_coding	chr10	80662490	80665124	+	858	1248	1204	1096	1168
ENSMUSG00000035245.13	Eogt	protein_coding	chr6	97086985	97126143	-	131	82	129	83	113
ENSMUSG00000035246.17	Pcyt1b	protein_coding	chrX	92698469	92793557	+	347	168	53	363	352
ENSMUSG00000035247.17	Hectd1	protein_coding	chr12	51790505	51876319	-	1574	293	189	1531	2524
ENSMUSG00000035248.10	Tut7	protein_coding	chr13	59919375	59970961	-	462	105	84	505	613
ENSMUSG00000035262.6	Amh	protein_coding	chr10	80641077	80643482	+	4	1	1	4	7
ENSMUSG00000035266.17	Helq	protein_coding	chr5	100910011	100946464	-	225	136	78	378	450
ENSMUSG00000035268.15	Pkig	protein_coding	chr2	163500306	163568078	+	153	60	44	110	206
ENSMUSG00000035273.15	Hpse	protein_coding	chr5	100827350	100867582	-	13	6	5	1	7
ENSMUSG00000035274.14	Tpbg	protein_coding	chr9	85724433	85729093	+	125	245	432	54	119
ENSMUSG00000035275.15	Raver2	protein_coding	chr4	100926180	101009567	+	182	109	43	325	359
ENSMUSG00000035278.10	Plekhj1	protein_coding	chr10	80631933	80634460	-	455	509	535	420	522
ENSMUSG00000035279.9	Ssc5d	protein_coding	chr7	4928784	4947825	+	7	3	1	6	9
ENSMUSG00000035283.6	Adrb1	protein_coding	chr19	56710631	56721545	+	18	3	11	11	26
ENSMUSG00000035284.11	Vps13c	protein_coding	chr9	67747678	67902920	+	3444	988	965	888	1062
ENSMUSG00000035285.7	Nat14	protein_coding	chr7	4925027	4928005	+	9	2	1	3	12
ENSMUSG00000035293.14	G2e3	protein_coding	chr12	51394844	51423769	+	1531	165	91	1301	1119
ENSMUSG00000035295.11	Wdr38	protein_coding	chr2	38887488	38896180	+	5	1	0	6	10
ENSMUSG00000035297.15	Cops4	protein_coding	chr5	100666175	100695669	+	753	1656	664	1521	1697
ENSMUSG00000035299.17	Mid1	protein_coding	chrX	168468195	168788732	+	244	9	6	130	179
ENSMUSG00000035305.6	Ror1	protein_coding	chr4	99952988	100301962	+	49	27	32	7	19
